"","EVTYPE"
"128","DRY MICROBURST"
"129","FLOOD/FLASH FLOOD"
"130","FLOOD/RAIN/WINDS"
"131","WINDS"
"132","DRY MICROBURST 61"
"133","THUNDERSTORMS"
"134","FLASH FLOOD WINDS"
"135","URBAN/SMALL STREAM FLOODING"
"136","MICROBURST"
"137","STRONG WIND"
"138","HIGH WIND DAMAGE"
"139","STREAM FLOODING"
"140","URBAN AND SMALL"
"141","HEAVY SNOWPACK"
"142","ICE"
"143","FLASH FLOOD/"
"144","DOWNBURST"
"145","GUSTNADO AND"
"146","FLOOD/RAIN/WIND"
"147","WET MICROBURST"
"148","DOWNBURST WINDS"
"149","DRY MICROBURST WINDS"
"150","DRY MIRCOBURST WINDS"
"151","DRY MICROBURST 53"
"152","SMALL STREAM URBAN FLOOD"
"153","MICROBURST WINDS"
"154","HIGH WINDS 57"
"155","DRY MICROBURST 50"
"156","HIGH WINDS 66"
"157","HIGH WINDS 76"
"158","HIGH WINDS 63"
"159","HIGH WINDS 67"
"160","BLIZZARD/HEAVY SNOW"
"161","HEAVY SNOW/HIGH WINDS"
"162","BLOWING SNOW"
"163","HIGH WINDS 82"
"164","HIGH WINDS 80"
"165","HIGH WINDS 58"
"166","FREEZING DRIZZLE"
"167","LIGHTNING THUNDERSTORM WINDSS"
"168","DRY MICROBURST 58"
"169","HAIL 75"
"170","HIGH WINDS 73"
"171","HIGH WINDS 55"
"172","LIGHT SNOW AND SLEET"
"173","URBAN FLOOD"
"174","DRY MICROBURST 84"
"175","THUNDERSTORM WINDS 60"
"176","HEAVY RAIN/FLOODING"
"177","THUNDERSTORM WINDSS"
"178","TORNADOS"
"179","GLAZE"
"180","RECORD HEAT"
"181","COASTAL FLOODING"
"182","HEAT WAVE"
"183","FIRST SNOW"
"184","FREEZING RAIN AND SLEET"
"185","UNSEASONABLY DRY"
"186","UNSEASONABLY WET"
"187","WINTRY MIX"
"188","WINTER WEATHER"
"189","UNSEASONABLY COLD"
"190","EXTREME/RECORD COLD"
"191","RIP CURRENTS HEAVY SURF"
"192","SLEET/RAIN/SNOW"
"193","UNSEASONABLY WARM"
"194","DROUGHT"
"195","NORMAL PRECIPITATION"
"196","HIGH WINDS/FLOODING"
"197","DRY"
"198","RAIN/SNOW"
"199","SNOW/RAIN/SLEET"
"200","WATERSPOUT/TORNADO"
"201","WATERSPOUTS"
"202","WATERSPOUT TORNADO"
"203","URBAN/SMALL STREAM FLOOD"
"204","STORM SURGE"
"205","WATERSPOUT-TORNADO"
"206","WATERSPOUT-"
"207","TORNADOES, TSTM WIND, HAIL"
"208","TROPICAL STORM ALBERTO"
"209","TROPICAL STORM"
"210","TROPICAL STORM GORDON"
"211","TROPICAL STORM JERRY"
"212","LIGHTNING THUNDERSTORM WINDS"
"213","WAYTERSPOUT"
"214","MINOR FLOODING"
"215","LIGHTNING INJURY"
"216","URBAN/SMALL STREAM  FLOOD"
"217","LIGHTNING AND THUNDERSTORM WIN"
"218","THUNDERSTORM WINDS53"
"219","URBAN AND SMALL STREAM FLOOD"
"220","URBAN AND SMALL STREAM"
"221","WILDFIRE"
"222","DAMAGING FREEZE"
"223","THUNDERSTORM WINDS 13"
"224","SMALL HAIL"
"225","HEAVY SNOW/HIGH WIND"
"226","HURRICANE"
"227","WILD/FOREST FIRE"
"228","SMALL STREAM FLOODING"
"229","MUD SLIDE"
"230","LIGNTNING"
"231","FROST"
"232","FREEZING RAIN/SNOW"
"233","HIGH WINDS/"
"234","THUNDERSNOW"
"235","FLOODS"
"236","EXTREME WIND CHILLS"
"237","COOL AND WET"
"238","HEAVY RAIN/SNOW"
"239","SMALL STREAM AND URBAN FLOODIN"
"240","SMALL STREAM/URBAN FLOOD"
"241","SNOW/SLEET/FREEZING RAIN"
"242","SEVERE COLD"
"243","GLAZE ICE"
"244","COLD WAVE"
"245","EARLY SNOW"
"246","SMALL STREAM AND URBAN FLOOD"
"247","HIGH  WINDS"
"248","RURAL FLOOD"
"249","SMALL STREAM AND"
"250","MUD SLIDES"
"251","HAIL 80"
"252","EXTREME WIND CHILL"
"253","COLD AND WET CONDITIONS"
"254","EXCESSIVE WETNESS"
"255","GRADIENT WINDS"
"256","HEAVY SNOW/BLOWING SNOW"
"257","SLEET/ICE STORM"
"258","THUNDERSTORM WINDS URBAN FLOOD"
"259","THUNDERSTORM WINDS SMALL STREA"
"260","ROTATING WALL CLOUD"
"261","LARGE WALL CLOUD"
"262","COLD AIR FUNNEL"
"263","GUSTNADO"
"264","COLD AIR FUNNELS"
"265","BLOWING SNOW- EXTREME WIND CHI"
"266","SNOW AND HEAVY SNOW"
"267","GROUND BLIZZARD"
"268","MAJOR FLOOD"
"269","SNOW/HEAVY SNOW"
"270","FREEZING RAIN/SLEET"
"271","ICE JAM FLOODING"
"272","SNOW- HIGH WIND- WIND CHILL"
"273","STREET FLOOD"
"274","COLD AIR TORNADO"
"275","SMALL STREAM FLOOD"
"276","FOG"
"277","THUNDERSTORM WINDS 2"
"278","FUNNEL CLOUD/HAIL"
"279","ICE/SNOW"
"280","TSTM WIND 51"
"281","TSTM WIND 50"
"282","TSTM WIND 52"
"283","TSTM WIND 55"
"284","HEAVY SNOW/BLIZZARD"
"285","THUNDERSTORM WINDS 61"
"286","HAIL 0.75"
"287","THUNDERSTORM DAMAGE"
"288","THUNDERTORM WINDS"
"289","HAIL 1.00"
"290","HAIL/WINDS"
"291","SNOW AND ICE"
"292","WIND STORM"
"293","SNOWSTORM"
"294","GRASS FIRES"
"295","LAKE FLOOD"
"296","PROLONG COLD"
"297","HAIL/WIND"
"298","HAIL 1.75"
"299","THUNDERSTORMW 50"
"300","WIND/HAIL"
"301","SNOW AND ICE STORM"
"302","URBAN AND SMALL STREAM FLOODIN"
"303","THUNDERSTORMS WIND"
"304","THUNDERSTORM  WINDS"
"305","HEAVY SNOW/SLEET"
"306","AGRICULTURAL FREEZE"
"307","DROUGHT/EXCESSIVE HEAT"
"308","TUNDERSTORM WIND"
"309","TROPICAL STORM DEAN"
"310","THUNDERTSORM WIND"
"311","THUNDERSTORM WINDS/ HAIL"
"312","THUNDERSTORM WIND/LIGHTNING"
"313","HEAVY RAIN/SEVERE WEATHER"
"314","THUNDESTORM WINDS"
"315","WATERSPOUT/ TORNADO"
"316","LIGHTNING."
"317","WARM DRY CONDITIONS"
"318","HURRICANE-GENERATED SWELLS"
"319","HEAVY SNOW/ICE STORM"
"320","RIVER AND STREAM FLOOD"
"321","HIGH WIND 63"
"322","COASTAL SURGE"
"323","HEAVY SNOW AND ICE STORM"
"324","MINOR FLOOD"
"325","HIGH WINDS/COASTAL FLOOD"
"326","RAIN"
"327","RIVER FLOODING"
"328","SNOW/RAIN"
"329","ICE FLOES"
"330","HIGH WAVES"
"331","SNOW SQUALLS"
"332","SNOW SQUALL"
"333","THUNDERSTORM WIND G50"
"334","LIGHTNING FIRE"
"335","BLIZZARD/FREEZING RAIN"
"336","HEAVY LAKE SNOW"
"337","HEAVY SNOW/FREEZING RAIN"
"338","LAKE EFFECT SNOW"
"339","HEAVY WET SNOW"
"340","DUST DEVIL WATERSPOUT"
"341","THUNDERSTORM WINDS/HEAVY RAIN"
"342","THUNDERSTROM WINDS"
"343","THUNDERSTORM WINDS      LE CEN"
"344","HAIL 225"
"345","BLIZZARD AND HEAVY SNOW"
"346","HEAVY SNOW AND ICE"
"347","ICE STORM AND SNOW"
"348","HEAVY SNOW ANDBLOWING SNOW"
"349","HEAVY SNOW/ICE"
"350","BLIZZARD AND EXTREME WIND CHIL"
"351","LOW WIND CHILL"
"352","BLOWING SNOW & EXTREME WIND CH"
"353","WATERSPOUT/"
"354","URBAN/SMALL STREAM"
"355","TORNADO F3"
"356","FUNNEL CLOUD."
"357","TORNDAO"
"358","HAIL 0.88"
"359","FLOOD/RIVER FLOOD"
"360","MUD SLIDES URBAN FLOODING"
"361","TORNADO F1"
"362","THUNDERSTORM WINDS G"
"363","DEEP HAIL"
"364","GLAZE/ICE STORM"
"365","HEAVY SNOW/WINTER STORM"
"366","AVALANCE"
"367","BLIZZARD/WINTER STORM"
"368","DUST STORM/HIGH WINDS"
"369","ICE JAM"
"370","FOREST FIRES"
"371","THUNDERSTORM WIND G60"
"372","FROST\FREEZE"
"373","THUNDERSTORM WINDS."
"374","HAIL 88"
"375","HAIL 175"
"376","HVY RAIN"
"377","HAIL 100"
"378","HAIL 150"
"379","HAIL 075"
"380","THUNDERSTORM WIND G55"
"381","HAIL 125"
"382","THUNDERSTORM WINDS G60"
"383","HARD FREEZE"
"384","HAIL 200"
"385","THUNDERSTORM WINDS FUNNEL CLOU"
"386","THUNDERSTORM WINDS 62"
"387","WILDFIRES"
"388","RECORD HEAT WAVE"
"389","HEAVY SNOW AND HIGH WINDS"
"390","HEAVY SNOW/HIGH WINDS & FLOOD"
"391","HAIL FLOODING"
"392","THUNDERSTORM WINDS/FLASH FLOOD"
"393","HIGH WIND 70"
"394","WET SNOW"
"395","HEAVY RAIN AND FLOOD"
"396","LOCAL FLASH FLOOD"
"397","THUNDERSTORM WINDS 53"
"398","FLOOD/FLASH FLOODING"
"399","TORNADO/WATERSPOUT"
"400","RAIN AND WIND"
"401","THUNDERSTORM WIND 59"
"402","THUNDERSTORM WIND 52"
"403","COASTAL/TIDAL FLOOD"
"404","SNOW/ICE STORM"
"405","BELOW NORMAL PRECIPITATION"
"406","RIP CURRENTS/HEAVY SURF"
"407","FLASH FLOOD/FLOOD"
"408","EXCESSIVE RAIN"
"409","RECORD/EXCESSIVE HEAT"
"410","HEAT WAVES"
"411","LIGHT SNOW"
"412","THUNDERSTORM WIND 69"
"413","HAIL DAMAGE"
"414","LIGHTNING DAMAGE"
"415","RECORD TEMPERATURES"
"416","LIGHTNING AND WINDS"
"417","FOG AND COLD TEMPERATURES"
"418","OTHER"
"419","RECORD SNOW"
"420","SNOW/COLD"
"421","FLASH FLOOD FROM ICE JAMS"
"422","TSTM WIND G58"
"423","MUDSLIDE"
"424","HEAVY SNOW SQUALLS"
"425","HEAVY SNOW/SQUALLS"
"426","HEAVY SNOW-SQUALLS"
"427","ICY ROADS"
"428","HEAVY MIX"
"429","SNOW FREEZING RAIN"
"430","LACK OF SNOW"
"431","SNOW/SLEET"
"432","SNOW/FREEZING RAIN"
"433","SNOW DROUGHT"
"434","THUNDERSTORMW WINDS"
"435","THUNDERSTORM WIND 60 MPH"
"436","THUNDERSTORM WIND 65MPH"
"437","THUNDERSTORM WIND/ TREES"
"438","THUNDERSTORM WIND/AWNING"
"439","THUNDERSTORM WIND 98 MPH"
"440","THUNDERSTORM WIND TREES"
"441","TORRENTIAL RAIN"
"442","TORNADO F2"
"443","RIP CURRENTS"
"444","HURRICANE EMILY"
"445","HURRICANE GORDON"
"446","HURRICANE FELIX"
"447","THUNDERSTORM WIND 59 MPH"
"448","THUNDERSTORM WINDS 63 MPH"
"449","THUNDERSTORM WIND/ TREE"
"450","THUNDERSTORM DAMAGE TO"
"451","THUNDERSTORM WIND 65 MPH"
"452","FLASH FLOOD - HEAVY RAIN"
"453","THUNDERSTORM WIND."
"454","FLASH FLOOD/ STREET"
"455","THUNDERSTORM WIND 59 MPH."
"456","HEAVY SNOW   FREEZING RAIN"
"457","DAM FAILURE"
"458","THUNDERSTORM HAIL"
"459","HAIL 088"
"460","THUNDERSTORM WINDSHAIL"
"461","LIGHTNING  WAUSEON"
"462","THUDERSTORM WINDS"
"463","ICE AND SNOW"
"464","RECORD COLD/FROST"
"465","STORM FORCE WINDS"
"466","FREEZING RAIN AND SNOW"
"467","FREEZING RAIN SLEET AND"
"468","SOUTHEAST"
"469","HEAVY SNOW & ICE"
"470","FREEZING DRIZZLE AND FREEZING"
"471","THUNDERSTORM WINDS AND"
"472","HAIL/ICY ROADS"
"473","FLASH FLOOD/HEAVY RAIN"
"474","HEAVY RAIN; URBAN FLOOD WINDS;"
"475","HEAVY PRECIPITATION"
"476","TSTM WIND DAMAGE"
"477","HIGH WATER"
"478","FLOOD FLASH"
"479","RAIN/WIND"
"480","THUNDERSTORM WINDS 50"
"481","THUNDERSTORM WIND G52"
"482","FLOOD FLOOD/FLASH"
"483","THUNDERSTORM WINDS 52"
"484","SNOW SHOWERS"
"485","THUNDERSTORM WIND G51"
"486","HEAT WAVE DROUGHT"
"487","HEAVY SNOW/BLIZZARD/AVALANCHE"
"488","RECORD SNOW/COLD"
"489","WET WEATHER"
"490","UNSEASONABLY WARM AND DRY"
"491","FREEZING RAIN SLEET AND LIGHT"
"492","RECORD/EXCESSIVE RAINFALL"
"493","TIDAL FLOOD"
"494","BEACH EROSIN"
"495","THUNDERSTORM WIND G61"
"496","FLOOD/FLASH"
"497","LOW TEMPERATURE"
"498","SLEET & FREEZING RAIN"
"499","HEAVY RAINS/FLOODING"
"500","THUNDERESTORM WINDS"
"501","THUNDERSTORM WINDS/FLOODING"
"502","THUNDEERSTORM WINDS"
"503","HIGHWAY FLOODING"
"504","THUNDERSTORM W INDS"
"505","HYPOTHERMIA"
"506","FLASH FLOOD/ FLOOD"
"507","THUNDERSTORM WIND 50"
"508","THUNERSTORM WINDS"
"509","HEAVY RAIN/MUDSLIDES/FLOOD"
"510","MUD/ROCK SLIDE"
"511","HIGH WINDS/COLD"
"512","BEACH EROSION/COASTAL FLOOD"
"513","COLD/WINDS"
"514","SNOW/ BITTER COLD"
"515","THUNDERSTORM WIND 56"
"516","SNOW SLEET"
"517","DRY HOT WEATHER"
"518","COLD WEATHER"
"519","RAPIDLY RISING WATER"
"520","HAIL ALOFT"
"521","EARLY FREEZE"
"522","ICE/STRONG WINDS"
"523","EXTREME WIND CHILL/BLOWING SNO"
"524","SNOW/HIGH WINDS"
"525","HIGH WINDS/SNOW"
"526","EARLY FROST"
"527","SNOWMELT FLOODING"
"528","HEAVY SNOW AND STRONG WINDS"
"529","SNOW ACCUMULATION"
"530","BLOWING SNOW/EXTREME WIND CHIL"
"531","SNOW/ ICE"
"532","SNOW/BLOWING SNOW"
"533","TORNADOES"
"534","THUNDERSTORM WIND/HAIL"
"535","FLASH FLOODING/FLOOD"
"536","HAIL 275"
"537","HAIL 450"
"538","FLASH FLOOODING"
"539","EXCESSIVE RAINFALL"
"540","THUNDERSTORMW"
"541","HAILSTORM"
"542","TSTM WINDS"
"543","BEACH FLOOD"
"544","HAILSTORMS"
"545","TSTMW"
"546","FUNNELS"
"547","TSTM WIND 65)"
"548","THUNDERSTORM WINDS/ FLOOD"
"549","HEAVY RAINFALL"
"550","HEAT/DROUGHT"
"551","HEAT DROUGHT"
"552","NEAR RECORD SNOW"
"553","LANDSLIDE"
"554","HIGH WIND AND SEAS"
"555","THUNDERSTORMWINDS"
"556","THUNDERSTORM WINDS HEAVY RAIN"
"557","SLEET/SNOW"
"558","EXCESSIVE"
"559","SNOW/SLEET/RAIN"
"560","WILD/FOREST FIRES"
"561","HEAVY SEAS"
"562","DUSTSTORM"
"563","FLOOD & HEAVY RAIN"
"564","?"
"565","THUNDERSTROM WIND"
"566","FLOOD/FLASHFLOOD"
"567","SNOW AND COLD"
"568","HOT PATTERN"
"569","PROLONG COLD/SNOW"
"570","BRUSH FIRES"
"571","SNOW\COLD"
"572","WINTER MIX"
"573","EXCESSIVE PRECIPITATION"
"574","SNOWFALL RECORD"
"575","HOT/DRY PATTERN"
"576","DRY PATTERN"
"577","MILD/DRY PATTERN"
"578","MILD PATTERN"
"579","LANDSLIDES"
"580","HEAVY SHOWERS"
"581","HEAVY SNOW AND"
"582","HIGH WIND 48"
"583","LAKE-EFFECT SNOW"
"584","BRUSH FIRE"
"585","WATERSPOUT FUNNEL CLOUD"
"586","URBAN SMALL STREAM FLOOD"
"587","SAHARAN DUST"
"588","HEAVY SHOWER"
"589","URBAN FLOOD LANDSLIDE"
"590","HEAVY SWELLS"
"591","URBAN SMALL"
"592","URBAN FLOODS"
"593","SMALL STREAM"
"594","HEAVY RAIN/URBAN FLOOD"
"595","FLASH FLOOD/LANDSLIDE"
"596","LANDSLIDE/URBAN FLOOD"
"597","HEAVY RAIN/SMALL STREAM URBAN"
"598","FLASH FLOOD LANDSLIDES"
"599","EXTREME WINDCHILL"
"600","URBAN/SML STREAM FLD"
"601","TSTM WIND/HAIL"
"602","RECORD DRY MONTH"
"603","TEMPERATURE RECORD"
"604","ICE JAM FLOOD (MINOR"
"605","ROUGH SURF"
"606","MARINE ACCIDENT"
"607","COASTAL STORM"
"608","COASTALFLOOD"
"609","EROSION/CSTL FLOOD"
"610","HEAVY RAIN AND WIND"
"611","LIGHT SNOW/FLURRIES"
"612","WET MONTH"
"613","WET YEAR"
"614","TIDAL FLOODING"
"615","BEACH EROSION"
"616","HOT AND DRY"
"617","HEAVY RAIN/HIGH SURF"
"618","RAIN DAMAGE"
"619","UNSEASONABLE COLD"
"620","STREET FLOODING"
"621","ICE FOG"
"622","EXCESSIVE COLD"
"623","TORRENTIAL RAINFALL"
"624","LANDSLUMP"
"625","LATE-SEASON SNOWFALL"
"626","HURRICANE EDOUARD"
"627","HEAVY RAIN/WIND"
"628","RECORD WARM TEMPS."
"629","EXTENDED COLD"
"630","FREEZING FOG"
"631","DRIFTING SNOW"
"632","WHIRLWIND"
"633","HEAVY SNOW SHOWER"
"634","LATE SNOW"
"635","RECORD MAY SNOW"
"636","RECORD WINTER SNOW"
"637"," COASTAL FLOOD"
"638","RECORD TEMPERATURE"
"639","LATE SEASON SNOWFALL"
"640","GUSTY WIND"
"641","MIXED PRECIP"
"642","BLACK ICE"
"643","GRADIENT WIND"
"644","FREEZING SPRAY"
"645","SUMMARY JAN 17"
"646","SUMMARY OF MARCH 14"
"647","SUMMARY OF MARCH 23"
"648","SUMMARY OF MARCH 24"
"649","SUMMARY OF APRIL 3RD"
"650","SUMMARY OF APRIL 12"
"651","SUMMARY OF APRIL 13"
"652","SUMMARY OF APRIL 21"
"653","SUMMARY AUGUST 11"
"654","SUMMARY OF APRIL 27"
"655","SUMMARY OF MAY 9-10"
"656","SUMMARY OF MAY 10"
"657","SUMMARY OF MAY 13"
"658","SUMMARY OF MAY 14"
"659","SUMMARY OF MAY 22 AM"
"660","SUMMARY OF MAY 22 PM"
"661","HEATBURST"
"662","SUMMARY OF MAY 26 AM"
"663","SUMMARY OF MAY 26 PM"
"664","METRO STORM, MAY 26"
"665","SUMMARY OF MAY 31 AM"
"666","SUMMARY OF MAY 31 PM"
"667","SUMMARY OF JUNE 3"
"668","SUMMARY OF JUNE 4"
"669","SUMMARY JUNE 5-6"
"670","SUMMARY JUNE 6"
"671","SUMMARY OF JUNE 11"
"672","SUMMARY OF JUNE 12"
"673","SUMMARY OF JUNE 13"
"674","SUMMARY OF JUNE 15"
"675","SUMMARY OF JUNE 16"
"676","SUMMARY JUNE 18-19"
"677","SUMMARY OF JUNE 23"
"678","SUMMARY OF JUNE 24"
"679","SUMMARY OF JUNE 30"
"680","SUMMARY OF JULY 2"
"681","SUMMARY OF JULY 3"
"682","SUMMARY OF JULY 11"
"683","SUMMARY OF JULY 22"
"684","SUMMARY JULY 23-24"
"685","SUMMARY OF JULY 26"
"686","SUMMARY OF JULY 29"
"687","SUMMARY OF AUGUST 1"
"688","SUMMARY AUGUST 2-3"
"689","SUMMARY AUGUST 7"
"690","SUMMARY AUGUST 9"
"691","SUMMARY AUGUST 10"
"692","SUMMARY AUGUST 17"
"693","SUMMARY AUGUST 21"
"694","SUMMARY AUGUST 28"
"695","SUMMARY SEPTEMBER 4"
"696","SUMMARY SEPTEMBER 20"
"697","SUMMARY SEPTEMBER 23"
"698","SUMMARY SEPT. 25-26"
"699","SUMMARY: OCT. 20-21"
"700","SUMMARY: OCTOBER 31"
"701","SUMMARY: NOV. 6-7"
"702","SUMMARY: NOV. 16"
"703","WET MICOBURST"
"704","HAIL(0.75)"
"705","NO SEVERE WEATHER"
"706","SUMMARY OF MAY 22"
"707","SUMMARY OF JUNE 6"
"708","SUMMARY AUGUST 4"
"709","SUMMARY OF JUNE 10"
"710","SUMMARY OF JUNE 18"
"711","SUMMARY SEPTEMBER 3"
"712","SUMMARY: SEPT. 18"
"713","LIGHT SNOWFALL"
"714","GUSTY WIND/RAIN"
"715","GUSTY WIND/HVY RAIN"
"716","EARLY SNOWFALL"
"717","MONTHLY SNOWFALL"
"718","SEASONAL SNOWFALL"
"719","MONTHLY RAINFALL"
"720","COLD TEMPERATURE"
"721","SML STREAM FLD"
"722","MUDSLIDE/LANDSLIDE"
"723","VOLCANIC ASH"
"724","VOLCANIC ASH PLUME"
"725","THUNDERSNOW SHOWER"
"726","NONE"
"727","COLD AND SNOW"
"728","DAM BREAK"
"729","TSTM WIND (G45)"
"730","SLEET/FREEZING RAIN"
"731","BLOW-OUT TIDES"
"732","UNSEASONABLY COOL"
"733","TSTM HEAVY RAIN"
"734","TSTM WIND 40"
"735","TSTM WIND 45"
"736","TSTM WIND (41)"
"737","TSTM WIND (G40)"
"738","TSTM WND"
"739"," TSTM WIND"
"740","FROST/FREEZE"
"741","RAIN (HEAVY)"
"742","COLD AND FROST"
"743","URBAN/SML STREAM FLDG"
"744","STRONG WIND GUST"
"745","LATE FREEZE"
"746","BLOW-OUT TIDE"
"747","HYPOTHERMIA/EXPOSURE"
"748","MIXED PRECIPITATION"
"749","COASTALSTORM"
"750","SNOW AND SLEET"
"751","BLIZZARD SUMMARY"
"752","SUMMARY OF MARCH 24-25"
"753","SUMMARY OF MARCH 27"
"754","SUMMARY OF MARCH 29"
"755","ICESTORM/BLIZZARD"
"756","FLOOD/STRONG WIND"
"757","TSTM WIND AND LIGHTNING"
"758","MOUNTAIN SNOWS"
"759","URBAN/SMALL STRM FLDG"
"760","HEAVY SURF AND WIND"
"761","MILD AND DRY PATTERN"
"762","TYPHOON"
"763","HIGH SWELLS"
"764","HIGH  SWELLS"
"765","DRY SPELL"
"766"," LIGHTNING"
"767","UNSEASONAL RAIN"
"768","EARLY RAIN"
"769","PROLONGED RAIN"
"770","WINTERY MIX"
"771","COASTAL FLOODING/EROSION"
"772","HOT SPELL"
"773","UNSEASONABLY HOT"
"774"," TSTM WIND (G45)"
"775","TSTM WIND  (G45)"
"776","HIGH WIND (G40)"
"777","TSTM WIND (G35)"
"778","DRY WEATHER"
"779","ABNORMAL WARMTH"
"780","UNUSUAL WARMTH"
"781","WAKE LOW WIND"
"782","COLD TEMPERATURES"
"783","COLD WIND CHILL TEMPERATURES"
"784","MODERATE SNOW"
"785","MODERATE SNOWFALL"
"786","URBAN/STREET FLOODING"
"787","COASTAL EROSION"
"788","UNUSUAL/RECORD WARMTH"
"789","BITTER WIND CHILL"
"790","BITTER WIND CHILL TEMPERATURES"
"791","SEICHE"
"792","TSTM"
"793","COASTAL  FLOODING/EROSION"
"794","UNSEASONABLY WARM YEAR"
"795","HYPERTHERMIA/EXPOSURE"
"796","ROCK SLIDE"
"797","ICE PELLETS"
"798","PATCHY DENSE FOG"
"799","RECORD COOL"
"800","RECORD WARM"
"801","HOT WEATHER"
"802","TROPICAL DEPRESSION"
"803","VOLCANIC ERUPTION"
"804","COOL SPELL"
"805","WIND ADVISORY"
"806","GUSTY WIND/HAIL"
"807","RED FLAG FIRE WX"
"808","FIRST FROST"
"809","EXCESSIVELY DRY"
"810","LIGHT SNOW/FREEZING PRECIP"
"811","VOG"
"812","MONTHLY PRECIPITATION"
"813","MONTHLY TEMPERATURE"
"814","RECORD DRYNESS"
"815","EXTREME WINDCHILL TEMPERATURES"
"816","DRY CONDITIONS"
"817","REMNANTS OF FLOYD"
"818","LANDSPOUT"
"819","DRIEST MONTH"
"820","RECORD  COLD"
"821","LATE SEASON HAIL"
"822","EXCESSIVE SNOW"
"823","DRYNESS"
"824","FLOOD/FLASH/FLOOD"
